CombinedDate,TS,PRECTOTCORR,WS10M
1/7/2021,27.17,0.6,1.17
2/7/2021,27.31,4.56,1.21
3/7/2021,26.9,6.07,2.72
4/7/2021,26.57,9.78,1.95
5/7/2021,26.44,18.51,2.77
6/7/2021,26.45,13.09,1.98
7/7/2021,26.55,1.76,1.45
8/7/2021,26.88,2.11,1.36
9/7/2021,27.03,6.32,1.53
10/7/2021,26.72,6.95,1.8
11/7/2021,27.11,16.01,2.02
12/7/2021,26.51,25.27,4.12
13/07/2021,26.26,3.42,2.13
14/07/2021,26.47,0.16,1.83
15/07/2021,26.68,0.57,1.68
16/07/2021,26.63,0.26,1.42
17/07/2021,27.01,0.26,1.23
18/07/2021,27.12,3.86,1.7
19/07/2021,26.98,4.99,2.22
20/07/2021,27.09,1,1.37
21/07/2021,26.85,2.16,1.73
22/07/2021,27.06,2.3,1.53
23/07/2021,27.05,2.33,1.78
24/07/2021,27.16,1.37,1.6
25/07/2021,27.4,0.2,1.17
26/07/2021,27.54,0.63,1.45
27/07/2021,27.61,1.24,1.39
28/07/2021,27.22,2.4,2.44
29/07/2021,27.09,4.93,1.8
30/07/2021,27.12,4.31,2.29
31/07/2021,26.92,11.1,2.98
1/8/2021,26.63,9.9,3.94
2/8/2021,26.98,3.45,1.91
3/8/2021,27.28,1.77,1.98
4/8/2021,27.12,4.86,3.52
5/8/2021,26.76,8.63,1.95
6/8/2021,27.25,3.58,1.49
7/8/2021,27.02,4.49,1.02
8/8/2021,27.44,8.03,0.99
9/8/2021,27.13,37.39,2.73
10/8/2021,26.68,30.69,2.7
11/8/2021,26.62,30.86,1.95
12/8/2021,26.72,15.04,4.01
13/08/2021,26.9,5.53,2.41
14/08/2021,26.41,47.95,2.58
15/08/2021,26.52,13.98,2.74
16/08/2021,26.8,6.52,1.8
17/08/2021,26.63,11.18,2.62
18/08/2021,26.03,46.78,5.34
19/08/2021,26.15,17.09,2.8
20/08/2021,26.1,3.18,1.23
21/08/2021,26.76,1.28,1.68
22/08/2021,26.76,6.02,1.59
23/08/2021,26.74,15.33,2.48
24/08/2021,26.65,6.53,2.19
25/08/2021,26.73,0.48,1.3
26/08/2021,27.41,1.41,1.44
27/08/2021,27.42,3.12,2.33
28/08/2021,27.26,3.25,2.38
29/08/2021,27.12,1.65,1.65
30/08/2021,26.87,6.03,2.02
31/08/2021,26.68,38.76,2.91
1/9/2021,26.22,13.33,3.55
2/9/2021,26.44,1.07,1.9
3/9/2021,27.12,4.29,1.52
4/9/2021,27.23,13.93,1.73
5/9/2021,27.41,36.59,1.11
6/9/2021,27.47,20.62,1.28
7/9/2021,26.83,14.22,2.22
8/9/2021,26.19,5.36,2.67
9/9/2021,26.69,3.39,2.06
10/9/2021,26.8,3.74,2.04
11/9/2021,27.05,3.59,3.06
12/9/2021,27.13,13.56,2.45
13/09/2021,26.4,3.44,1.9
14/09/2021,26.76,0.56,1.2
15/09/2021,27.62,0.55,1.56
16/09/2021,27.26,3.37,2.52
17/09/2021,27.78,21.72,1.55
18/09/2021,26.51,48.6,3.78
19/09/2021,26.37,19.51,2.82
20/09/2021,26.81,19.83,2.84
21/09/2021,26.86,2.98,1.66
22/09/2021,27.13,3.54,1.59
23/09/2021,27.13,2.91,1.6
24/09/2021,27.48,2.98,1.48
25/09/2021,27.41,19.15,2.57
26/09/2021,27.28,69.1,2.62
27/09/2021,27.08,36.72,1.41
28/09/2021,27.26,41.27,2.56
29/09/2021,26.42,115.89,4.79
30/09/2021,26.59,15.6,2.33
1/10/2021,26.4,4.74,2.2
2/10/2021,27.19,0.36,2.15
3/10/2021,27.57,0.94,1.87
4/10/2021,27.4,1.42,1.87
5/10/2021,27.26,0.89,1.69
6/10/2021,27.09,2.51,2.33
7/10/2021,27.06,4.53,2.23
8/10/2021,27.22,4.91,2.03
9/10/2021,27.38,10.42,1.87
10/10/2021,26.7,29.22,2.74
11/10/2021,26.63,1.21,2.18
12/10/2021,27.17,1.49,1.7
13/10/2021,27.16,1.91,1.92
14/10/2021,26.95,1.9,1.76
15/10/2021,27.23,1.61,1.6
16/10/2021,27.12,2.15,1.42
17/10/2021,26.98,7.03,2.58
18/10/2021,26.84,45.62,3.17
19/10/2021,26.83,13.32,2.3
20/10/2021,26.32,30.06,2.88
21/10/2021,27.07,2.79,1.9
22/10/2021,27.41,4.27,1.88
23/10/2021,27.15,4.85,2.69
24/10/2021,26.65,30.65,4.12
25/10/2021,26.55,16.95,2.65
26/10/2021,26.54,42.1,4.09
27/10/2021,26.6,3.64,2.02
28/10/2021,26.98,1.1,1.35
29/10/2021,27.34,4.57,2.8
30/10/2021,26.64,12.96,2.88
31/10/2021,26.37,12.12,1.88
1/11/2021,26.06,6.24,2.25
2/11/2021,26.15,9.8,1.8
3/11/2021,26.19,22.9,2.09
4/11/2021,26.12,41.88,2.84
5/11/2021,25.92,18.24,2.35
6/11/2021,25.97,18.45,2.99
7/11/2021,26.19,16.91,2.11
8/11/2021,26.31,15.51,3.7
9/11/2021,27.08,19.68,3.97
10/11/2021,26.13,11.11,2.64
11/11/2021,26.38,0.47,2.29
12/11/2021,27.01,5.1,2.13
13/11/2021,27.06,3.77,2.26
14/11/2021,27.27,0.34,1.51
15/11/2021,27.01,0.54,2.06
16/11/2021,27.22,1.53,2.05
17/11/2021,27.17,10.55,2.49
18/11/2021,26.9,7.16,2.37
19/11/2021,26.92,6.2,1.67
20/11/2021,26.96,3.79,2.16
21/11/2021,27.13,9.97,1.8
22/11/2021,27.09,6.26,1.88
23/11/2021,26.55,6.3,2.2
24/11/2021,26.82,1.3,1.27
25/11/2021,26.84,3.82,2.2
26/11/2021,26.89,3.39,3.03
27/11/2021,26.84,4.57,2.24
28/11/2021,27.05,1.92,1.52
29/11/2021,26.95,5.33,1.45
30/11/2021,26.69,10.74,2.66
1/12/2021,26.87,2.79,2.21
2/12/2021,26.61,6.54,2.03
3/12/2021,27.01,2.52,2.35
4/12/2021,26.67,14.51,3.04
5/12/2021,26.7,12.16,1.86
6/12/2021,26.76,2.02,2.02
7/12/2021,27.26,4.3,1.66
8/12/2021,27.42,10.35,1.79
9/12/2021,27.08,41.28,2.54
10/12/2021,26.63,37.76,2.15
11/12/2021,27.16,15.81,1.77
12/12/2021,27.26,17.25,2.14
13/12/2021,26.9,5.98,1.2
14/12/2021,27.05,11.83,1.88
15/12/2021,26.92,22.91,1.88
16/12/2021,26.69,16.88,2.95
17/12/2021,26.64,72.97,4.28
18/12/2021,26.49,68.87,5.3
19/12/2021,26.58,23.59,3.79
20/12/2021,26.39,9.13,1.57
21/12/2021,27.09,1.27,1.68
22/12/2021,27.02,11.7,2.3
23/12/2021,26.87,7.42,1.49
24/12/2021,26.99,4.93,2.33
25/12/2021,27.19,2.82,2.6
26/12/2021,27.33,7.36,2.41
27/12/2021,27.15,7.74,1.54
28/12/2021,27.13,2.67,1.56
29/12/2021,27.37,2.6,1.86
30/12/2021,27.56,5.15,1.49
31/12/2021,27.05,54.26,2.02
1/1/2022,26.53,19.61,2.23
2/1/2022,26,26.34,2.62
3/1/2022,26.83,0.38,1.61
4/1/2022,27.23,1.6,1.8
5/1/2022,27.37,0.82,1.65
6/1/2022,27.39,2.94,2.28
7/1/2022,27.3,2.4,2.68
8/1/2022,27.05,6.84,3.2
9/1/2022,26.72,41.73,1.2
10/1/2022,26.91,16.32,3.7
11/1/2022,27.48,11.34,2.08
12/1/2022,27.62,4.69,2.28
13/01/2022,27.38,5.76,1.47
14/01/2022,27.65,3.06,1.16
15/01/2022,27.69,0.76,1.84
16/01/2022,27.76,5.72,1.72
17/01/2022,27.12,16.42,2.47
18/01/2022,26.76,14.64,2.59
19/01/2022,26.33,15.48,2.71
20/01/2022,26.73,6.81,1.75
21/01/2022,27,6.26,2.45
22/01/2022,26.96,5.05,2.47
23/01/2022,26.65,11.13,3.17
24/01/2022,26.49,9.19,1.54
25/01/2022,26.84,2.64,1.56
26/01/2022,27.21,2.18,1.12
27/01/2022,27.51,1.33,1.82
28/01/2022,27.58,1.9,1.31
29/01/2022,27.68,2.45,1.74
30/01/2022,26.94,42.16,2.91
31/01/2022,27.23,5.84,1.91
1/2/2022,26.65,25.83,2.64
2/2/2022,26.73,6.92,1.97
3/2/2022,27.3,5.48,1.9
4/2/2022,26.58,51.22,2.91
5/2/2022,26.29,65.66,2.41
6/2/2022,26.54,42.44,1.7
7/2/2022,26.5,3.13,2.52
8/2/2022,26.94,4.11,2.04
9/2/2022,26.75,3.82,1.93
10/2/2022,26.67,3.3,1.55
11/2/2022,27.14,2.55,1.32
12/2/2022,27.24,1.71,1.7
13/02/2022,27.39,4.73,2.37
14/02/2022,27.53,4.12,2.49
15/02/2022,27.31,6.42,2.31
16/02/2022,27.01,4.6,2.57
17/02/2022,27.17,6.13,2.52
18/02/2022,27.15,2.24,2.99
19/02/2022,27.12,1.11,1.08
20/02/2022,27.23,0.22,1.14
21/02/2022,27.25,0.88,2.33
22/02/2022,27.32,5.99,1.88
23/02/2022,27.29,4.98,1.55
24/02/2022,27.39,1.58,1.73
25/02/2022,27.59,4,1.99
26/02/2022,27.26,13.93,2.83
27/02/2022,27,11.09,2.85
28/02/2022,27.33,19.6,2.84
1/3/2022,27,14.33,1.53
2/3/2022,27.23,7.26,1.55
3/3/2022,26.97,12.76,2.2
4/3/2022,27.32,4.24,2.7
5/3/2022,27.21,11.79,2.52
6/3/2022,27.04,8.9,2.18
7/3/2022,27.16,5.33,1.76
8/3/2022,27.15,7.17,1.86
9/3/2022,27.15,14.57,1.84
10/3/2022,26.93,5.79,2.35
11/3/2022,26.94,12.34,3.51
12/3/2022,27.25,9.66,2.95
13/03/2022,27.02,9.25,3.23
14/03/2022,27.01,20.88,1.76
15/03/2022,27.35,4.25,1.53
16/03/2022,27.46,21.06,1.92
17/03/2022,26.92,27.67,2.84
18/03/2022,27.02,10.6,2.76
19/03/2022,27.11,5.33,1.84
20/03/2022,26.88,8.72,1.47
21/03/2022,27.23,0.94,1.74
22/03/2022,27.37,3.84,1.5
23/03/2022,27.28,0.99,1.74
24/03/2022,27.08,0.02,1.16
25/03/2022,27.07,0,1.27
26/03/2022,27.25,0.03,1.85
27/03/2022,27.01,0.11,1.79
28/03/2022,26.84,0.05,1.65
29/03/2022,27.16,0.5,1.95
30/03/2022,27.26,1.86,2.75
31/03/2022,27.08,1.25,2.09
1/4/2022,27.12,1.53,1.52
2/4/2022,27.2,0.72,1.41
3/4/2022,26.95,0.2,1.99
4/4/2022,27.28,0.24,1.96
5/4/2022,26.9,30.52,2.05
6/4/2022,27.27,7.75,2.52
7/4/2022,26.81,10.73,2.66
8/4/2022,27.01,3.76,1.47
9/4/2022,26.99,3.41,1.38
10/4/2022,27.32,4.19,1.69
11/4/2022,27.25,18.95,2.16
12/4/2022,27.48,9.38,1.41
13/04/2022,27.55,1.92,1.56
14/04/2022,27.7,5.7,1.68
15/04/2022,27.65,6.03,1.77
16/04/2022,27.76,5.95,1.7
17/04/2022,28.01,8.86,1.55
18/04/2022,27.44,27.41,1.48
19/04/2022,27.26,19.66,2.72
20/04/2022,27.23,11.97,1.77
21/04/2022,27.47,4.25,1.83
22/04/2022,27.69,6.67,1.59
23/04/2022,27.28,12.26,2.79
24/04/2022,27.61,20.04,2.07
25/04/2022,27.07,41.5,2.57
26/04/2022,27.26,3.1,1.88
27/04/2022,27.67,3.65,2.29
28/04/2022,27.44,9.62,1.52
29/04/2022,27.48,6.96,1.39
30/04/2022,27.32,11.95,1.75
1/5/2022,27.15,13.02,1.53
2/5/2022,27.17,15.86,1.62
3/5/2022,26.97,14.89,2.64
4/5/2022,26.99,1.32,1.18
5/5/2022,27.4,3.37,1.62
6/5/2022,27.25,8.57,2.31
7/5/2022,27.13,4.84,1.08
8/5/2022,27.4,4.83,1.25
9/5/2022,27.77,0.94,1.19
10/5/2022,27.84,7.85,1.12
11/5/2022,27.23,17.87,2.38
12/5/2022,27.05,15.99,3.33
13/05/2022,27.64,0.4,1.65
14/05/2022,27.86,0.31,1.51
15/05/2022,27.57,20.37,1.59
16/05/2022,27.31,18.22,1.98
17/05/2022,27.32,0.17,1.33
18/05/2022,27.35,0.01,1.23
19/05/2022,27.37,0.78,0.82
20/05/2022,27.57,0.65,1.7
21/05/2022,27.3,7.85,1.41
22/05/2022,27.2,3.4,1.26
23/05/2022,27.41,2.31,1.34
24/05/2022,27.4,14.14,2.24
25/05/2022,26.65,13.81,3.82
26/05/2022,26.91,3.05,2.5
27/05/2022,27.29,5.64,2.84
28/05/2022,26.8,6.09,3.28
29/05/2022,27.3,3.38,2.64
30/05/2022,27.35,3.78,2.25
31/05/2022,27.29,3.13,2.85
1/6/2022,27.39,6.77,2.45
2/6/2022,26.72,12.28,3.45
3/6/2022,26.75,12.8,1.99
4/6/2022,26.98,0.83,1.85
5/6/2022,27.17,2.39,1.35
6/6/2022,27.12,4.97,1.54
7/6/2022,27.14,5.78,2.02
8/6/2022,26.98,6.62,2.69
9/6/2022,26.92,19.34,2.26
10/6/2022,26.97,4.21,3.88
11/6/2022,26.64,99.19,3.17
12/6/2022,26.9,10.92,1.84
13/06/2022,27.19,8.37,1.84
14/06/2022,26.64,35.54,2.55
15/06/2022,26.8,8.35,2.07
16/06/2022,26.92,8.24,2.55
17/06/2022,26.47,15.61,2.39
18/06/2022,26.8,4.14,2.11
19/06/2022,26.33,19.63,2.95
20/06/2022,26.98,9.43,2.32
21/06/2022,26.82,10.84,3
22/06/2022,26.67,5.17,1.95
23/06/2022,26.64,12.63,2.52
24/06/2022,26.73,34.34,2.59
25/06/2022,26.65,17.85,1.71
26/06/2022,27.18,0.73,1.58
27/06/2022,27.36,5.36,1.69
28/06/2022,26.93,13.11,2.78
29/06/2022,26.54,14.38,4.47
30/06/2022,26.18,3.05,3.14
1/7/2022,26.43,0.41,1.66
2/7/2022,26.68,1.05,1.45
3/7/2022,26.93,0.36,1.55
4/7/2022,27.29,1.04,2.89
5/7/2022,26.81,2.06,2.62
6/7/2022,27.02,3.57,1.09
7/7/2022,27.05,2,1.39
8/7/2022,26.97,2.2,1.6
9/7/2022,27.15,1.72,1.8
10/7/2022,26.93,2.95,2.2
11/7/2022,26.87,3.1,2.34
12/7/2022,26.73,3.17,2.14
13/07/2022,27.01,3.12,1.52
14/07/2022,27.04,5.61,1.41
15/07/2022,27.08,12.14,2.47
16/07/2022,27.29,1.43,1.81
17/07/2022,27.53,1.1,1.23
18/07/2022,27.65,0.12,1.56
19/07/2022,27.34,4.23,1.59
20/07/2022,27.05,8.14,2.28
21/07/2022,27.23,2.29,1.33
22/07/2022,27.38,11.92,1.41
23/07/2022,27.75,26.66,1.28
24/07/2022,27.13,23.34,1.95
25/07/2022,26.51,59.84,4.69
26/07/2022,26.64,8.08,1.65
27/07/2022,26.68,5.36,2.02
28/07/2022,27.03,6.66,1.85
29/07/2022,26.78,9.94,2.05
30/07/2022,26.88,4.39,1.64
31/07/2022,27.36,0.67,1.74
1/8/2022,27.21,1.48,1.45
2/8/2022,26.61,13.9,2.69
3/8/2022,26.33,17.68,2.51
4/8/2022,26.39,1.71,1.96
5/8/2022,26.82,0.06,1.73
6/8/2022,26.8,0.91,2.48
7/8/2022,27.16,0.49,2.08
8/8/2022,27.23,1.03,1.66
9/8/2022,27.16,0.88,1.95
10/8/2022,27.3,0.9,1.6
11/8/2022,27.45,0.41,1.68
12/8/2022,27.32,1.42,2.2
13/08/2022,27.21,1.58,1.32
14/08/2022,27.4,4.27,1.38
15/08/2022,27.05,4.34,1.58
16/08/2022,27.19,1.54,1.73
17/08/2022,27.45,0.93,2.14
18/08/2022,27.52,21.74,1.63
19/08/2022,27.55,9.67,1.77
20/08/2022,26.94,56.19,3.93
21/08/2022,26.86,7.86,2.85
22/08/2022,27.23,8.65,1.6
23/08/2022,26.65,6.41,3.38
24/08/2022,26.76,31.34,3.38
25/08/2022,26.87,12.51,3.32
26/08/2022,26.75,10.37,2.87
27/08/2022,26.83,11.48,2.65
28/08/2022,26.8,47.12,2.05
29/08/2022,26.18,122.43,3.59
30/08/2022,26.54,9.51,2.06
31/08/2022,26.87,3.69,2.18
1/9/2022,26.8,15.15,3.3
2/9/2022,26.26,23.78,4.18
3/9/2022,26.4,3.62,1.65
4/9/2022,26.58,1.65,1.2
5/9/2022,26.9,3.05,1.5
6/9/2022,26.9,16.09,2.13
7/9/2022,26.81,4.62,1.51
8/9/2022,26.87,1.64,1.12
9/9/2022,26.66,5.45,1.14
10/9/2022,26.88,1.88,1.72
11/9/2022,26.56,1.71,1.48
12/9/2022,26.83,4.94,1.71
13/09/2022,26.37,16.15,1.52
14/09/2022,26.78,2.61,1.75
15/09/2022,27.17,4.27,1.69
16/09/2022,26.38,17.25,2.46
17/09/2022,26.55,22.32,1.95
18/09/2022,26.18,28.58,1.68
19/09/2022,26.3,5.15,1.02
20/09/2022,26.67,6.15,1.41
21/09/2022,26.07,42.75,3.3
22/09/2022,26.07,23.15,2.28
23/09/2022,26.56,6.86,1.38
24/09/2022,26.11,21,2.43
25/09/2022,26.49,4.8,2.16
26/09/2022,26.69,2.05,2.19
27/09/2022,26.61,19.86,2.71
28/09/2022,26.52,43.38,3.38
29/09/2022,26.7,12.16,2.18
30/09/2022,26.92,14.15,3.45
1/10/2022,26.38,133.56,3.3
2/10/2022,26.51,25.03,2.55
3/10/2022,26.62,11.83,3.31
4/10/2022,26.45,29.52,1.84
5/10/2022,26.39,9.65,2.32
6/10/2022,26.44,7.12,2.34
7/10/2022,26.1,7.74,1.34
8/10/2022,26.6,4.05,1.37
9/10/2022,26.32,2.94,1.7
10/10/2022,26.48,3.43,1.78
11/10/2022,26.37,7.5,2.4
12/10/2022,26.27,8.51,1.88
13/10/2022,26.3,6.76,2.27
14/10/2022,26.26,6.64,2.35
15/10/2022,26,28.55,3.09
16/10/2022,26.07,25.57,3.51
17/10/2022,25.9,20.02,2.21
18/10/2022,25.81,10.12,2.38
19/10/2022,25.57,5.78,2.33
20/10/2022,25.95,3.9,3
21/10/2022,26.09,3.33,2.39
22/10/2022,26.08,8.09,2.13
23/10/2022,26.13,34.11,2.74
24/10/2022,26.3,17.04,3.77
25/10/2022,25.99,11.87,3.45
26/10/2022,25.7,20.26,2.37
27/10/2022,25.91,16.84,2.13
28/10/2022,25.93,7.51,2.03
29/10/2022,25.56,12.3,1.27
30/10/2022,25.36,28.76,2.45
31/10/2022,25.61,18.79,1.91
1/11/2022,25.87,7.13,1.91
2/11/2022,25.9,5.04,1.41
3/11/2022,25.74,9.62,1.71
4/11/2022,26.11,8.76,3.02
5/11/2022,25.83,4.43,1.3
6/11/2022,25.93,7.87,1.05
7/11/2022,25.94,4.22,2.4
8/11/2022,26.23,7.36,2.57
9/11/2022,26.3,35.65,2.24
10/11/2022,26.62,61.79,2.48
11/11/2022,26.33,81.4,4.31
12/11/2022,26.44,18.03,3.59
13/11/2022,26.62,27.96,2.34
14/11/2022,26.38,30.95,3.02
15/11/2022,26.78,19.81,4.03
16/11/2022,26.48,38.05,4.92
17/11/2022,26.25,28.55,3.34
18/11/2022,26.75,5.54,3.41
19/11/2022,26.21,29.35,2.4
20/11/2022,26.36,11.92,3.17
21/11/2022,26.43,9.26,2.43
22/11/2022,26.34,23.39,2.54
23/11/2022,25.88,20.57,2.77
24/11/2022,26.08,26.36,2.98
25/11/2022,25.98,10.27,2.32
26/11/2022,26.47,3.79,1.73
27/11/2022,26.62,3.56,1.48
28/11/2022,26.84,1.39,1.55
29/11/2022,25.81,5.63,3.23
30/11/2022,26.16,11.48,1.49
1/12/2022,26.3,18.31,2
2/12/2022,26.01,21.83,3.85
3/12/2022,26.12,12,2.56
4/12/2022,26.01,18.55,2.86
5/12/2022,26.43,9.53,2.28
6/12/2022,26.59,14.56,2.57
7/12/2022,26.52,14.25,2.22
8/12/2022,26.26,17.21,2.16
9/12/2022,26.16,14.47,3.63
10/12/2022,26,21.81,2.9
11/12/2022,26.09,44.73,4.34
12/12/2022,26.16,31.65,2.84
13/12/2022,26.19,8.31,2.16
14/12/2022,26.08,14.49,2.17
15/12/2022,26.1,3.18,1.62
16/12/2022,26.59,1.34,1.21
17/12/2022,26.52,3.14,1.63
18/12/2022,26.72,6.68,1.53
19/12/2022,27.05,3.73,1.35
20/12/2022,26.96,4.72,2.41
21/12/2022,26.72,9.42,2.66
22/12/2022,26.41,5.47,2.61
23/12/2022,26.67,2.27,1.45
24/12/2022,26.91,1.69,1.73
25/12/2022,26.4,5.24,1.87
26/12/2022,27.01,3.98,1.62
27/12/2022,26.79,9.2,1.82
28/12/2022,26.13,41.57,2.42
29/12/2022,25.8,12,1.53
30/12/2022,26,23.47,3.31
