TS,PRECTOTCORR,WS10M,Cluster
26.05,6.53,1.11,TIDAK BERPOTENSI UPWELLING
26.26,12.82,2.08,TIDAK BERPOTENSI UPWELLING
26.4,12.74,1.02,TIDAK BERPOTENSI UPWELLING
27.15,17.3,1.3,TIDAK BERPOTENSI UPWELLING
27.08,19.14,1.39,TIDAK BERPOTENSI UPWELLING
27.01,16.75,1.07,TIDAK BERPOTENSI UPWELLING
27.12,0.53,1.53,TIDAK BERPOTENSI UPWELLING
27.48,0.89,2.12,TIDAK BERPOTENSI UPWELLING
27.27,4.49,2.98,TIDAK BERPOTENSI UPWELLING
27.32,3.63,2.02,TIDAK BERPOTENSI UPWELLING
27.35,57.22,1.9,BERPOTENSI UPWELLING
27.03,27.89,1.72,BERPOTENSI UPWELLING
26.83,11.59,1.52,TIDAK BERPOTENSI UPWELLING
27.13,13.85,1.55,TIDAK BERPOTENSI UPWELLING
27.07,12.41,1.7,TIDAK BERPOTENSI UPWELLING
27.25,10.56,1.5,TIDAK BERPOTENSI UPWELLING
27.26,0.46,1.13,TIDAK BERPOTENSI UPWELLING
27.08,0.32,1.88,TIDAK BERPOTENSI UPWELLING
26.75,1.74,1.94,TIDAK BERPOTENSI UPWELLING
26.85,8.05,2.02,TIDAK BERPOTENSI UPWELLING
26.42,6.67,2.4,TIDAK BERPOTENSI UPWELLING
27.08,0.92,2.0,TIDAK BERPOTENSI UPWELLING
27.2,1.33,1.84,TIDAK BERPOTENSI UPWELLING
27.29,3.55,1.92,TIDAK BERPOTENSI UPWELLING
26.88,4.27,1.68,TIDAK BERPOTENSI UPWELLING
26.72,2.82,2.1,TIDAK BERPOTENSI UPWELLING
27.12,5.74,1.97,TIDAK BERPOTENSI UPWELLING
26.89,13.41,2.2,TIDAK BERPOTENSI UPWELLING
26.46,5.21,1.72,TIDAK BERPOTENSI UPWELLING
26.72,15.48,1.63,TIDAK BERPOTENSI UPWELLING
26.72,9.31,2.23,TIDAK BERPOTENSI UPWELLING
26.95,5.95,1.55,TIDAK BERPOTENSI UPWELLING
26.95,9.9,1.47,TIDAK BERPOTENSI UPWELLING
27.37,8.84,1.74,TIDAK BERPOTENSI UPWELLING
27.15,9.4,1.82,TIDAK BERPOTENSI UPWELLING
26.85,10.07,1.05,TIDAK BERPOTENSI UPWELLING
26.45,7.14,2.27,TIDAK BERPOTENSI UPWELLING
26.89,8.61,1.72,TIDAK BERPOTENSI UPWELLING
27.71,4.3,1.76,TIDAK BERPOTENSI UPWELLING
27.85,2.72,2.01,TIDAK BERPOTENSI UPWELLING
27.83,3.01,1.79,TIDAK BERPOTENSI UPWELLING
27.92,3.8,1.18,TIDAK BERPOTENSI UPWELLING
27.69,1.3,1.51,TIDAK BERPOTENSI UPWELLING
27.69,1.03,1.32,TIDAK BERPOTENSI UPWELLING
27.65,0.93,1.53,TIDAK BERPOTENSI UPWELLING
27.75,1.03,1.54,TIDAK BERPOTENSI UPWELLING
28.01,3.06,2.22,TIDAK BERPOTENSI UPWELLING
27.65,11.19,2.55,TIDAK BERPOTENSI UPWELLING
27.69,0.51,2.11,TIDAK BERPOTENSI UPWELLING
27.45,2.76,2.76,TIDAK BERPOTENSI UPWELLING
27.91,3.1,2.38,TIDAK BERPOTENSI UPWELLING
27.44,9.29,1.9,TIDAK BERPOTENSI UPWELLING
27.33,4.77,1.77,TIDAK BERPOTENSI UPWELLING
26.87,2.55,1.73,TIDAK BERPOTENSI UPWELLING
27.98,1.91,1.98,TIDAK BERPOTENSI UPWELLING
27.87,6.54,2.19,TIDAK BERPOTENSI UPWELLING
27.55,17.33,2.98,TIDAK BERPOTENSI UPWELLING
27.45,6.41,2.76,TIDAK BERPOTENSI UPWELLING
27.32,4.65,2.98,TIDAK BERPOTENSI UPWELLING
27.01,9.68,4.63,TIDAK BERPOTENSI UPWELLING
27.47,4.08,2.95,TIDAK BERPOTENSI UPWELLING
27.6,1.48,2.33,TIDAK BERPOTENSI UPWELLING
27.41,15.1,2.06,TIDAK BERPOTENSI UPWELLING
27.4,36.38,2.25,BERPOTENSI UPWELLING
27.26,10.73,2.05,TIDAK BERPOTENSI UPWELLING
27.86,3.38,1.62,TIDAK BERPOTENSI UPWELLING
27.63,10.28,1.75,TIDAK BERPOTENSI UPWELLING
27.05,51.69,3.76,BERPOTENSI UPWELLING
26.69,41.27,2.1,BERPOTENSI UPWELLING
26.91,0.79,1.42,TIDAK BERPOTENSI UPWELLING
27.47,11.82,1.44,TIDAK BERPOTENSI UPWELLING
27.68,7.74,2.24,TIDAK BERPOTENSI UPWELLING
27.21,21.06,1.84,TIDAK BERPOTENSI UPWELLING
27.18,30.89,2.53,BERPOTENSI UPWELLING
27.31,6.31,1.84,TIDAK BERPOTENSI UPWELLING
27.1,18.73,0.92,TIDAK BERPOTENSI UPWELLING
27.4,4.99,1.57,TIDAK BERPOTENSI UPWELLING
26.91,13.76,2.63,TIDAK BERPOTENSI UPWELLING
27.03,4.67,1.65,TIDAK BERPOTENSI UPWELLING
27.33,3.31,1.5,TIDAK BERPOTENSI UPWELLING
27.01,5.48,2.17,TIDAK BERPOTENSI UPWELLING
26.83,73.54,3.23,BERPOTENSI UPWELLING
27.08,9.8,2.3,TIDAK BERPOTENSI UPWELLING
26.97,49.92,1.68,BERPOTENSI UPWELLING
27.27,23.61,1.54,TIDAK BERPOTENSI UPWELLING
27.19,22.1,1.24,TIDAK BERPOTENSI UPWELLING
26.99,27.43,1.72,BERPOTENSI UPWELLING
27.55,59.17,1.88,BERPOTENSI UPWELLING
27.1,15.02,2.77,TIDAK BERPOTENSI UPWELLING
27.26,2.93,2.09,TIDAK BERPOTENSI UPWELLING
26.67,19.59,2.42,TIDAK BERPOTENSI UPWELLING
27.13,7.56,3.82,TIDAK BERPOTENSI UPWELLING
26.65,45.86,4.96,BERPOTENSI UPWELLING
26.72,4.81,4.04,TIDAK BERPOTENSI UPWELLING
26.21,4.39,4.45,TIDAK BERPOTENSI UPWELLING
26.24,20.03,4.24,TIDAK BERPOTENSI UPWELLING
26.65,7.8,4.44,TIDAK BERPOTENSI UPWELLING
26.57,5.0,2.31,TIDAK BERPOTENSI UPWELLING
26.8,7.14,2.0,TIDAK BERPOTENSI UPWELLING
27.05,5.33,1.66,TIDAK BERPOTENSI UPWELLING
27.14,5.94,2.31,TIDAK BERPOTENSI UPWELLING
27.15,8.01,2.01,TIDAK BERPOTENSI UPWELLING
27.65,6.32,1.48,TIDAK BERPOTENSI UPWELLING
27.54,10.16,2.01,TIDAK BERPOTENSI UPWELLING
27.45,10.02,1.62,TIDAK BERPOTENSI UPWELLING
27.41,5.73,1.65,TIDAK BERPOTENSI UPWELLING
26.9,5.19,0.91,TIDAK BERPOTENSI UPWELLING
27.25,1.68,1.71,TIDAK BERPOTENSI UPWELLING
27.29,3.67,2.02,TIDAK BERPOTENSI UPWELLING
26.91,28.87,1.55,BERPOTENSI UPWELLING
27.41,2.44,1.59,TIDAK BERPOTENSI UPWELLING
27.32,5.51,2.16,TIDAK BERPOTENSI UPWELLING
27.59,1.39,1.68,TIDAK BERPOTENSI UPWELLING
27.61,13.37,1.8,TIDAK BERPOTENSI UPWELLING
26.8,28.08,2.24,BERPOTENSI UPWELLING
27.07,6.34,1.3,TIDAK BERPOTENSI UPWELLING
27.42,11.38,1.47,TIDAK BERPOTENSI UPWELLING
27.58,5.97,1.46,TIDAK BERPOTENSI UPWELLING
27.47,8.15,1.95,TIDAK BERPOTENSI UPWELLING
27.0,37.3,2.58,BERPOTENSI UPWELLING
27.47,9.49,1.91,TIDAK BERPOTENSI UPWELLING
27.43,8.9,1.88,TIDAK BERPOTENSI UPWELLING
27.41,25.01,1.73,TIDAK BERPOTENSI UPWELLING
27.79,8.62,1.46,TIDAK BERPOTENSI UPWELLING
27.76,5.49,1.73,TIDAK BERPOTENSI UPWELLING
27.99,2.83,1.47,TIDAK BERPOTENSI UPWELLING
27.69,22.9,1.48,TIDAK BERPOTENSI UPWELLING
27.45,19.52,2.15,TIDAK BERPOTENSI UPWELLING
27.36,14.41,2.04,TIDAK BERPOTENSI UPWELLING
27.73,9.11,1.68,TIDAK BERPOTENSI UPWELLING
27.86,7.59,0.91,TIDAK BERPOTENSI UPWELLING
27.87,7.37,1.16,TIDAK BERPOTENSI UPWELLING
27.95,9.16,1.74,TIDAK BERPOTENSI UPWELLING
27.58,51.02,3.0,BERPOTENSI UPWELLING
27.61,22.37,2.52,TIDAK BERPOTENSI UPWELLING
27.99,11.65,1.36,TIDAK BERPOTENSI UPWELLING
27.62,36.82,1.98,BERPOTENSI UPWELLING
27.49,12.58,1.38,TIDAK BERPOTENSI UPWELLING
27.6,15.92,2.55,TIDAK BERPOTENSI UPWELLING
27.3,30.35,2.72,BERPOTENSI UPWELLING
27.32,12.17,2.3,TIDAK BERPOTENSI UPWELLING
27.47,0.06,1.77,TIDAK BERPOTENSI UPWELLING
27.66,0.15,1.94,TIDAK BERPOTENSI UPWELLING
27.55,1.25,1.51,TIDAK BERPOTENSI UPWELLING
27.33,0.74,1.59,TIDAK BERPOTENSI UPWELLING
27.91,0.91,1.7,TIDAK BERPOTENSI UPWELLING
27.73,3.61,1.73,TIDAK BERPOTENSI UPWELLING
27.97,1.53,1.75,TIDAK BERPOTENSI UPWELLING
27.67,49.53,2.59,BERPOTENSI UPWELLING
27.76,5.5,1.51,TIDAK BERPOTENSI UPWELLING
27.6,17.55,3.04,TIDAK BERPOTENSI UPWELLING
27.51,15.48,1.38,TIDAK BERPOTENSI UPWELLING
27.51,15.5,2.12,TIDAK BERPOTENSI UPWELLING
27.31,5.64,2.55,TIDAK BERPOTENSI UPWELLING
27.39,1.21,1.59,TIDAK BERPOTENSI UPWELLING
27.74,2.75,1.98,TIDAK BERPOTENSI UPWELLING
27.51,18.87,2.62,TIDAK BERPOTENSI UPWELLING
27.11,15.3,2.23,TIDAK BERPOTENSI UPWELLING
26.91,11.72,2.16,TIDAK BERPOTENSI UPWELLING
27.2,0.14,1.46,TIDAK BERPOTENSI UPWELLING
27.23,1.0,1.82,TIDAK BERPOTENSI UPWELLING
26.91,10.67,1.45,TIDAK BERPOTENSI UPWELLING
27.12,2.65,1.12,TIDAK BERPOTENSI UPWELLING
27.17,1.89,1.68,TIDAK BERPOTENSI UPWELLING
27.15,1.33,1.69,TIDAK BERPOTENSI UPWELLING
27.27,6.1,2.56,TIDAK BERPOTENSI UPWELLING
27.13,3.13,1.56,TIDAK BERPOTENSI UPWELLING
27.61,3.66,1.34,TIDAK BERPOTENSI UPWELLING
27.27,13.78,1.49,TIDAK BERPOTENSI UPWELLING
26.85,5.03,1.27,TIDAK BERPOTENSI UPWELLING
26.87,1.61,1.81,TIDAK BERPOTENSI UPWELLING
27.09,1.04,1.35,TIDAK BERPOTENSI UPWELLING
26.98,1.46,1.08,TIDAK BERPOTENSI UPWELLING
26.87,4.4,1.8,TIDAK BERPOTENSI UPWELLING
26.66,12.14,2.3,TIDAK BERPOTENSI UPWELLING
26.34,13.16,4.55,TIDAK BERPOTENSI UPWELLING
26.58,2.14,3.08,TIDAK BERPOTENSI UPWELLING
27.13,0.42,1.72,TIDAK BERPOTENSI UPWELLING
27.28,6.4,1.88,TIDAK BERPOTENSI UPWELLING
26.58,46.85,3.78,BERPOTENSI UPWELLING
26.89,1.92,1.75,TIDAK BERPOTENSI UPWELLING
27.05,2.67,2.53,TIDAK BERPOTENSI UPWELLING
26.37,66.71,4.58,BERPOTENSI UPWELLING
26.8,0.49,1.8,TIDAK BERPOTENSI UPWELLING
27.17,0.6,1.17,TIDAK BERPOTENSI UPWELLING
27.31,4.56,1.21,TIDAK BERPOTENSI UPWELLING
26.9,6.07,2.72,TIDAK BERPOTENSI UPWELLING
26.57,9.78,1.95,TIDAK BERPOTENSI UPWELLING
26.44,18.51,2.77,TIDAK BERPOTENSI UPWELLING
26.45,13.09,1.98,TIDAK BERPOTENSI UPWELLING
26.55,1.76,1.45,TIDAK BERPOTENSI UPWELLING
26.88,2.11,1.36,TIDAK BERPOTENSI UPWELLING
27.03,6.32,1.53,TIDAK BERPOTENSI UPWELLING
26.72,6.95,1.8,TIDAK BERPOTENSI UPWELLING
27.11,16.01,2.02,TIDAK BERPOTENSI UPWELLING
26.51,25.27,4.12,TIDAK BERPOTENSI UPWELLING
26.26,3.42,2.13,TIDAK BERPOTENSI UPWELLING
26.47,0.16,1.83,TIDAK BERPOTENSI UPWELLING
26.68,0.57,1.68,TIDAK BERPOTENSI UPWELLING
26.63,0.26,1.42,TIDAK BERPOTENSI UPWELLING
27.01,0.26,1.23,TIDAK BERPOTENSI UPWELLING
27.12,3.86,1.7,TIDAK BERPOTENSI UPWELLING
26.98,4.99,2.22,TIDAK BERPOTENSI UPWELLING
27.09,1.0,1.37,TIDAK BERPOTENSI UPWELLING
26.85,2.16,1.73,TIDAK BERPOTENSI UPWELLING
27.06,2.3,1.53,TIDAK BERPOTENSI UPWELLING
27.05,2.33,1.78,TIDAK BERPOTENSI UPWELLING
27.16,1.37,1.6,TIDAK BERPOTENSI UPWELLING
27.4,0.2,1.17,TIDAK BERPOTENSI UPWELLING
27.54,0.63,1.45,TIDAK BERPOTENSI UPWELLING
27.61,1.24,1.39,TIDAK BERPOTENSI UPWELLING
27.22,2.4,2.44,TIDAK BERPOTENSI UPWELLING
27.09,4.93,1.8,TIDAK BERPOTENSI UPWELLING
27.12,4.31,2.29,TIDAK BERPOTENSI UPWELLING
26.92,11.1,2.98,TIDAK BERPOTENSI UPWELLING
26.63,9.9,3.94,TIDAK BERPOTENSI UPWELLING
26.98,3.45,1.91,TIDAK BERPOTENSI UPWELLING
27.28,1.77,1.98,TIDAK BERPOTENSI UPWELLING
27.12,4.86,3.52,TIDAK BERPOTENSI UPWELLING
26.76,8.63,1.95,TIDAK BERPOTENSI UPWELLING
27.25,3.58,1.49,TIDAK BERPOTENSI UPWELLING
27.02,4.49,1.02,TIDAK BERPOTENSI UPWELLING
27.44,8.03,0.99,TIDAK BERPOTENSI UPWELLING
27.13,37.39,2.73,BERPOTENSI UPWELLING
26.68,30.69,2.7,BERPOTENSI UPWELLING
26.62,30.86,1.95,BERPOTENSI UPWELLING
26.72,15.04,4.01,TIDAK BERPOTENSI UPWELLING
26.9,5.53,2.41,TIDAK BERPOTENSI UPWELLING
26.41,47.95,2.58,BERPOTENSI UPWELLING
26.52,13.98,2.74,TIDAK BERPOTENSI UPWELLING
26.8,6.52,1.8,TIDAK BERPOTENSI UPWELLING
26.63,11.18,2.62,TIDAK BERPOTENSI UPWELLING
26.03,46.78,5.34,BERPOTENSI UPWELLING
26.15,17.09,2.8,TIDAK BERPOTENSI UPWELLING
26.1,3.18,1.23,TIDAK BERPOTENSI UPWELLING
26.76,1.28,1.68,TIDAK BERPOTENSI UPWELLING
26.76,6.02,1.59,TIDAK BERPOTENSI UPWELLING
26.74,15.33,2.48,TIDAK BERPOTENSI UPWELLING
26.65,6.53,2.19,TIDAK BERPOTENSI UPWELLING
26.73,0.48,1.3,TIDAK BERPOTENSI UPWELLING
27.41,1.41,1.44,TIDAK BERPOTENSI UPWELLING
27.42,3.12,2.33,TIDAK BERPOTENSI UPWELLING
27.26,3.25,2.38,TIDAK BERPOTENSI UPWELLING
27.12,1.65,1.65,TIDAK BERPOTENSI UPWELLING
26.87,6.03,2.02,TIDAK BERPOTENSI UPWELLING
26.68,38.76,2.91,BERPOTENSI UPWELLING
26.22,13.33,3.55,TIDAK BERPOTENSI UPWELLING
26.44,1.07,1.9,TIDAK BERPOTENSI UPWELLING
27.12,4.29,1.52,TIDAK BERPOTENSI UPWELLING
27.23,13.93,1.73,TIDAK BERPOTENSI UPWELLING
27.41,36.59,1.11,BERPOTENSI UPWELLING
27.47,20.62,1.28,TIDAK BERPOTENSI UPWELLING
26.83,14.22,2.22,TIDAK BERPOTENSI UPWELLING
26.19,5.36,2.67,TIDAK BERPOTENSI UPWELLING
26.69,3.39,2.06,TIDAK BERPOTENSI UPWELLING
26.8,3.74,2.04,TIDAK BERPOTENSI UPWELLING
27.05,3.59,3.06,TIDAK BERPOTENSI UPWELLING
27.13,13.56,2.45,TIDAK BERPOTENSI UPWELLING
26.4,3.44,1.9,TIDAK BERPOTENSI UPWELLING
26.76,0.56,1.2,TIDAK BERPOTENSI UPWELLING
27.62,0.55,1.56,TIDAK BERPOTENSI UPWELLING
27.26,3.37,2.52,TIDAK BERPOTENSI UPWELLING
27.78,21.72,1.55,TIDAK BERPOTENSI UPWELLING
26.51,48.6,3.78,BERPOTENSI UPWELLING
26.37,19.51,2.82,TIDAK BERPOTENSI UPWELLING
26.81,19.83,2.84,TIDAK BERPOTENSI UPWELLING
26.86,2.98,1.66,TIDAK BERPOTENSI UPWELLING
27.13,3.54,1.59,TIDAK BERPOTENSI UPWELLING
27.13,2.91,1.6,TIDAK BERPOTENSI UPWELLING
27.48,2.98,1.48,TIDAK BERPOTENSI UPWELLING
27.41,19.15,2.57,TIDAK BERPOTENSI UPWELLING
27.28,69.1,2.62,BERPOTENSI UPWELLING
27.08,36.72,1.41,BERPOTENSI UPWELLING
27.26,41.27,2.56,BERPOTENSI UPWELLING
26.42,115.89,4.79,BERPOTENSI UPWELLING
26.59,15.6,2.33,TIDAK BERPOTENSI UPWELLING
26.4,4.74,2.2,TIDAK BERPOTENSI UPWELLING
27.19,0.36,2.15,TIDAK BERPOTENSI UPWELLING
27.57,0.94,1.87,TIDAK BERPOTENSI UPWELLING
27.4,1.42,1.87,TIDAK BERPOTENSI UPWELLING
27.26,0.89,1.69,TIDAK BERPOTENSI UPWELLING
27.09,2.51,2.33,TIDAK BERPOTENSI UPWELLING
27.06,4.53,2.23,TIDAK BERPOTENSI UPWELLING
27.22,4.91,2.03,TIDAK BERPOTENSI UPWELLING
27.38,10.42,1.87,TIDAK BERPOTENSI UPWELLING
26.7,29.22,2.74,BERPOTENSI UPWELLING
26.63,1.21,2.18,TIDAK BERPOTENSI UPWELLING
27.17,1.49,1.7,TIDAK BERPOTENSI UPWELLING
27.16,1.91,1.92,TIDAK BERPOTENSI UPWELLING
26.95,1.9,1.76,TIDAK BERPOTENSI UPWELLING
27.23,1.61,1.6,TIDAK BERPOTENSI UPWELLING
27.12,2.15,1.42,TIDAK BERPOTENSI UPWELLING
26.98,7.03,2.58,TIDAK BERPOTENSI UPWELLING
26.84,45.62,3.17,BERPOTENSI UPWELLING
26.83,13.32,2.3,TIDAK BERPOTENSI UPWELLING
26.32,30.06,2.88,BERPOTENSI UPWELLING
27.07,2.79,1.9,TIDAK BERPOTENSI UPWELLING
27.41,4.27,1.88,TIDAK BERPOTENSI UPWELLING
27.15,4.85,2.69,TIDAK BERPOTENSI UPWELLING
26.65,30.65,4.12,BERPOTENSI UPWELLING
26.55,16.95,2.65,TIDAK BERPOTENSI UPWELLING
26.54,42.1,4.09,BERPOTENSI UPWELLING
26.6,3.64,2.02,TIDAK BERPOTENSI UPWELLING
26.98,1.1,1.35,TIDAK BERPOTENSI UPWELLING
27.34,4.57,2.8,TIDAK BERPOTENSI UPWELLING
26.64,12.96,2.88,TIDAK BERPOTENSI UPWELLING
26.37,12.12,1.88,TIDAK BERPOTENSI UPWELLING
26.06,6.24,2.25,TIDAK BERPOTENSI UPWELLING
26.15,9.8,1.8,TIDAK BERPOTENSI UPWELLING
26.19,22.9,2.09,TIDAK BERPOTENSI UPWELLING
26.12,41.88,2.84,BERPOTENSI UPWELLING
25.92,18.24,2.35,TIDAK BERPOTENSI UPWELLING
25.97,18.45,2.99,TIDAK BERPOTENSI UPWELLING
26.19,16.91,2.11,TIDAK BERPOTENSI UPWELLING
26.31,15.51,3.7,TIDAK BERPOTENSI UPWELLING
27.08,19.68,3.97,TIDAK BERPOTENSI UPWELLING
26.13,11.11,2.64,TIDAK BERPOTENSI UPWELLING
26.38,0.47,2.29,TIDAK BERPOTENSI UPWELLING
27.01,5.1,2.13,TIDAK BERPOTENSI UPWELLING
27.06,3.77,2.26,TIDAK BERPOTENSI UPWELLING
27.27,0.34,1.51,TIDAK BERPOTENSI UPWELLING
27.01,0.54,2.06,TIDAK BERPOTENSI UPWELLING
27.22,1.53,2.05,TIDAK BERPOTENSI UPWELLING
27.17,10.55,2.49,TIDAK BERPOTENSI UPWELLING
26.9,7.16,2.37,TIDAK BERPOTENSI UPWELLING
26.92,6.2,1.67,TIDAK BERPOTENSI UPWELLING
26.96,3.79,2.16,TIDAK BERPOTENSI UPWELLING
27.13,9.97,1.8,TIDAK BERPOTENSI UPWELLING
27.09,6.26,1.88,TIDAK BERPOTENSI UPWELLING
26.55,6.3,2.2,TIDAK BERPOTENSI UPWELLING
26.82,1.3,1.27,TIDAK BERPOTENSI UPWELLING
26.84,3.82,2.2,TIDAK BERPOTENSI UPWELLING
26.89,3.39,3.03,TIDAK BERPOTENSI UPWELLING
26.84,4.57,2.24,TIDAK BERPOTENSI UPWELLING
27.05,1.92,1.52,TIDAK BERPOTENSI UPWELLING
26.95,5.33,1.45,TIDAK BERPOTENSI UPWELLING
26.69,10.74,2.66,TIDAK BERPOTENSI UPWELLING
26.87,2.79,2.21,TIDAK BERPOTENSI UPWELLING
26.61,6.54,2.03,TIDAK BERPOTENSI UPWELLING
27.01,2.52,2.35,TIDAK BERPOTENSI UPWELLING
26.67,14.51,3.04,TIDAK BERPOTENSI UPWELLING
26.7,12.16,1.86,TIDAK BERPOTENSI UPWELLING
26.76,2.02,2.02,TIDAK BERPOTENSI UPWELLING
27.26,4.3,1.66,TIDAK BERPOTENSI UPWELLING
27.42,10.35,1.79,TIDAK BERPOTENSI UPWELLING
27.08,41.28,2.54,BERPOTENSI UPWELLING
26.63,37.76,2.15,BERPOTENSI UPWELLING
27.16,15.81,1.77,TIDAK BERPOTENSI UPWELLING
27.26,17.25,2.14,TIDAK BERPOTENSI UPWELLING
26.9,5.98,1.2,TIDAK BERPOTENSI UPWELLING
27.05,11.83,1.88,TIDAK BERPOTENSI UPWELLING
26.92,22.91,1.88,TIDAK BERPOTENSI UPWELLING
26.69,16.88,2.95,TIDAK BERPOTENSI UPWELLING
26.64,72.97,4.28,BERPOTENSI UPWELLING
26.49,68.87,5.3,BERPOTENSI UPWELLING
26.58,23.59,3.79,TIDAK BERPOTENSI UPWELLING
26.39,9.13,1.57,TIDAK BERPOTENSI UPWELLING
27.09,1.27,1.68,TIDAK BERPOTENSI UPWELLING
27.02,11.7,2.3,TIDAK BERPOTENSI UPWELLING
26.87,7.42,1.49,TIDAK BERPOTENSI UPWELLING
26.99,4.93,2.33,TIDAK BERPOTENSI UPWELLING
27.19,2.82,2.6,TIDAK BERPOTENSI UPWELLING
27.33,7.36,2.41,TIDAK BERPOTENSI UPWELLING
27.15,7.74,1.54,TIDAK BERPOTENSI UPWELLING
27.13,2.67,1.56,TIDAK BERPOTENSI UPWELLING
27.37,2.6,1.86,TIDAK BERPOTENSI UPWELLING
